Datetime,Ticker,Open,High,Low,Close,Volume
2025-08-11 12:10,AGQ,51.36,51.36,51.36,51.36,100.0,
2025-08-11 12:11,AGQ,51.36,51.37,51.36,51.37,500.0,
2025-08-11 12:12,AGQ,51.35,51.37,51.35,51.37,300.0,
2025-08-11 12:13,AGQ,51.38,51.3992,51.38,51.3992,2044.0,
2025-08-11 12:14,AGQ,51.4199,51.4199,51.39,51.39,520.0,
2025-08-11 12:15,AGQ,51.41,51.41,51.41,51.41,250.0,
2025-08-11 12:16,AGQ,51.39,51.39,51.3899,51.3899,5200.0,
2025-08-11 12:17,AGQ,51.4,51.4101,51.4,51.4101,2100.0,
2025-08-11 12:18,AGQ,51.4197,51.4197,51.419,51.419,250.0,
2025-08-11 12:19,AGQ,51.4,51.4,51.39,51.39,3003.0,
2025-08-11 12:20,AGQ,51.38,51.38,51.38,51.38,500.0,
2025-08-11 12:22,AGQ,51.3942,51.3942,51.3942,51.3942,210.0,
2025-08-11 12:23,AGQ,51.4151,51.4151,51.4151,51.4151,1000.0,
2025-08-11 12:24,AGQ,51.4,51.4,51.39,51.39,700.0,
2025-08-11 12:25,AGQ,51.4,51.4,51.4,51.4,200.0,
2025-08-11 12:27,AGQ,51.405,51.405,51.405,51.405,300.0,
2025-08-11 12:28,AGQ,51.39,51.39,51.39,51.39,300.0,
2025-08-11 12:29,AGQ,51.37,51.38,51.36,51.38,2536.0,
2025-08-11 12:30,AGQ,51.38,51.38,51.38,51.38,739.0,
2025-08-11 12:31,AGQ,51.36,51.36,51.3599,51.3599,1300.0,
2025-08-11 12:34,AGQ,51.34,51.34,51.34,51.34,100.0,
2025-08-11 12:35,AGQ,51.32,51.34,51.31,51.34,1600.0,
2025-08-11 12:37,AGQ,51.33,51.33,51.31,51.31,500.0,
2025-08-11 12:38,AGQ,51.3,51.3,51.29,51.29,800.0,
2025-08-11 12:40,AGQ,51.26,51.26,51.2042,51.22,2794.0,
2025-08-11 12:41,AGQ,51.2,51.22,51.18,51.18,14046.0,
2025-08-11 12:42,AGQ,51.1845,51.2,51.18,51.2,600.0,
2025-08-11 12:43,AGQ,51.18,51.1908,51.18,51.1908,5304.0,
2025-08-11 12:44,AGQ,51.2,51.2,51.2,51.2,300.0,
2025-08-11 12:45,AGQ,51.2074,51.21,51.17,51.18,3701.0,
2025-08-11 12:46,AGQ,51.16,51.16,51.13,51.13,1300.0,
2025-08-11 12:47,AGQ,51.13,51.13,51.1,51.1,5645.0,
2025-08-11 12:48,AGQ,51.1167,51.1245,51.1167,51.1245,200.0,
2025-08-11 12:49,AGQ,51.14,51.14,51.14,51.14,400.0,
2025-08-11 12:51,AGQ,51.14,51.15,51.14,51.15,200.0,
2025-08-11 12:52,AGQ,51.18,51.18,51.15,51.15,300.0,
2025-08-11 12:54,AGQ,51.1621,51.1621,51.15,51.15,1381.0,
2025-08-11 12:55,AGQ,51.15,51.15,51.12,51.12,708.0,
2025-08-11 12:56,AGQ,51.15,51.15,51.15,51.15,100.0,
2025-08-11 12:57,AGQ,51.13,51.1401,51.13,51.1401,3300.0,
2025-08-11 12:59,AGQ,51.1557,51.1557,51.1324,51.1324,1325.0,
2025-08-11 13:00,AGQ,51.15,51.15,51.15,51.15,100.0,
2025-08-11 13:01,AGQ,51.16,51.16,51.1497,51.16,1288.0,
