
LIEN,CHICAGO ATLANTIC BDC,10.05,0,0.00%,1,9.95,10.2,0,0,1.18,229 M,N/A
DMLP,DORCHESTER MINERALS,27.905,0,0.00%,N/A,27.25,28.18,0,0,2.05,"1,321 M",30.70%
MITT,AG MTG INVT TR INC,7.43,0,0.00%,621,7.39,7.53,0,0,0.89,220 M,32.95%
GES,GUESS INC,11.4,0,0.00%,479,11.3,11.55,0,0,-0.11,593 M,58.82%
EMD,WESTERN ASSET EMERGING MRKTS DEBT CF,9.79,0,0.00%,N/A,9.77,9.85,0,0,1.06,569 M,N/A
PGP,PIMCO GLOBAL STOCKSPLUS INCOME CF,8,0,0.00%,N/A,7.91,8.15,0,0,1.03,92 M,N/A
GLQ,CLOUGH GLOBAL EQUITY CF,6.77,0,0.00%,N/A,6.36,6.95,0,0,2.12,127 M,N/A
HIO,WESTRN ASST HIGH INCM OPPORTUNITY CF,3.915,0,0.00%,N/A,3.9,3.96,0,0,0.26,372 M,N/A
IGA,VOYA GLOBL ADVNTGE AND PRM OPPOR CF,10,0,0.00%,N/A,9.85,10,0,0,1.51,153 M,N/A
PCF,HIGH INCOME SECURITI,6.35,0,0.00%,161,6.31,6.38,0,0,0.9995,119 M,N/A
RMR,RMR GROUP INC A,16.32,0,0.00%,4,15.3,16.61,0,0,1.2,275 M,30.03%
BBDC,BARINGS BDC INC,9.07,0,0.00%,196,9.05,9.33,0,0,0.94,955 M,++
PMT,PENNYMAC MTG INVT TR REIT,12.36,0,0.00%,"2,222",12.4,12.48,0,0,0.93,"1,075 M",32.68%
APYRF,ALLIED PPTYS REIT,12.32,0,0.00%,N/A,10.88,13.48,0,0,-2.157,"1,722 M",N/A
PFLT,PENNANTPARK FLOATING,10.4,0,0.00%,"5,332",10.37,10.41,0,0,0.85,"1,032 M",++
IPOOF,INPLAY OIL CORP,7.27,0,0.00%,N/A,7.13,8.42,0,0,0.2096,203 M,N/A
GLO,CLOUGH GLOBAL OPPORTUNITIES CF,5.23,0,0.00%,2,5.2,5.3,0,0,1.46,224 M,N/A
FTF,FRANKLIN LTD DUR INCOME CF,6.35,0,0.00%,N/A,6,6.36,0,0,0.5,257 M,N/A
BWMX,BETTERWARE DE MEXICO,8.81,0,0.00%,446,8.01,8.9,0,0,-0.189,329 M,++
MNDO,MIND C T I LTD,1.37,0,0.00%,N/A,1.34,1.39,0,0,0.17,28 M,253.53%
FBRT,FRANKLIN BSP REALTY,10.79,0,0.00%,2,10.6,11.31,0,0,0.67,887 M,27.62%
GAB,GABELLI EQUITY CF,5.62,0,0.00%,N/A,5.58,5.64,0,0,0.66,"1,727 M",N/A
AWP,ABRDN GLOBAL PREMIER PROPERTIE CF,3.95,0,0.00%,26,3.92,3.97,0,0,1.11,341 M,N/A
SEVN,SEVEN HILLS REALTY T REIT,11.74,0,0.00%,6,11.74,12.11,0,0,1.15,175 M,32.92%
BGT,BLACKROCK FLOATING RATE INM CF,12.3,0,0.00%,N/A,12.3,12.59,0,0,1.11,314 M,N/A
GLV,CLOUGH GLOBAL DIVIDEND AND INCOME CF,5.54,0,0.00%,N/A,5,5.57,0,0,1.26,69 M,N/A
RWT,REDWOOD TR INC REIT,5.61,0,0.00%,"4,281",5.58,5.72,0,0,0.21,747 M,34.87%
CIM,CHIMERA INVT CORP EQ Equity,13.68,0,0.00%,"1,352",13.7,13.82,0,0,1.51,"1,108 M",28.11%
SAR,SARATOGA INVT CORP,24.33,0,0.00%,138,24.3,24.44,0,0,2.02,374 M,21.46%
SCM,STELLUS CAPITAL INVE,13.76,0,0.00%,39,13.63,13.83,0,0,1.43,391 M,23.01%
BGS,B & G FOODS INC NEW,4.29,0,0.00%,489,4.28,4.37,0,0,-2.66,342 M,77.42%
ARI,APOLLO COML REAL EST REIT,9.8,0,0.00%,551,9.82,9.92,0,0,-0.05,"1,362 M",33.59%
PFN,PIMCO INCOME STRATEGY II CF,7.25,0,0.00%,N/A,7.24,7.39,0,0,-0.75,677 M,N/A
NMFC,NEW MTN FIN CORP,10.36,0,0.00%,113,10.05,10.7,0,0,0.99,"1,117 M",38.78%
PFL,PIMCO INCM STRATEGY,8.25,0,0.00%,N/A,8.24,8.28,0,0,0.99,370 M,N/A
EFC,ELLINGTON FINL INC REIT,12.8,0,0.00%,"1,638",12.82,12.87,0,0,1.39,"1,210 M",23.61%
TRTX,TPG RE FIN TR INC REIT,7.92,0,0.00%,4,7.92,8.02,0,0,0.7,632 M,39.71%
MFIC,MIDCAP FINL INVESTME,12.28,0,0.00%,1,12.28,12.79,0,0,1.2,"1,146 M",40.00%
PHK,PIMCO HIGH INCOME CF,4.75,0,0.00%,1,4.74,4.8,0,0,0.62,815 M,N/A
JFR,NUVEEN FLOATING RATE INCOME CF,8.24,0,0.00%,N/A,8.24,8.29,0,0,0.9556,"1,105 M",N/A
MSD,MORGAN STANLEY EMERGING MKT DEBT CF,7.815,0,0.00%,N/A,7.77,7.86,0,0,0.81,158 M,N/A
NLCP,NEWLAKE CAP PARTNERS,14.72,0,0.00%,N/A,14.67,14.79,0,0,1.25,302 M,N/A
FAX,ABRDN ASIA PACIFIC INCOME CF,15.79,0,0.00%,1,15.21,16.09,0,0,2.7,652 M,N/A
KRP,KIMBELL RTY PARTNERS,14.57,0,0.00%,175,14.51,14.66,0,0,0.04,"1,361 M",20.20%
VVR,INVESCO SNR INCOME CF,3.68,0,0.00%,N/A,3.64,3.74,0,0,0.27,565 M,N/A
FSK,FS KKR CAPITAL CORP,20.57,0,0.00%,937,20.57,20.68,0,0,1.9,"5,761 M",23.44%
BRSP,BRIGHTSPIRE CAP INC A,5.12,0,0.00%,381,5.12,5.2,0,0,-0.56,668 M,36.83%
LFT,LUMENT FIN TR INC,2.46,0,0.00%,"1,182",2.49,2.69,0,0,0.2,129 M,N/A
NYMT,NEW YORK MTG TR INC,6.72,0,0.00%,339,6.72,6.78,0,0,-0.06,607 M,31.46%
EHI,WESTERN ASST GLBAL HIGH INCOME CF,6.44,0,0.00%,2,6.41,6.53,0,0,0.9143,195 M,N/A
TXO,TXO PARTNERS LP,15.87,0,0.00%,N/A,16,16.75,0,0,0.38,869 M,43.19%
SPMC,SOUND PT MERIDIAN CA,17.1,0,0.00%,N/A,16.92,17.3,0,0,0.866,0,N/A
JQC,NUVEEN CREDIT STRATEGIES INCOME CF,5.28,0,0.00%,2,5.27,5.38,0,0,0.5946,723 M,N/A
PTALF,PETROTAL CORP,0.511,0,0.00%,N/A,0.5059,0.513,0,0,0.1,468 M,N/A
AVK,ADVENT CLAYMORE CONV SECUR INCOM CF,11.65,0,0.00%,1,11.5,11.95,0,0,2.72,514 M,N/A
DX,DYNEX CAP INC REIT,12.21,0,0.00%,"11,286",12.28,12.32,0,0,0.79,"1,308 M",18.91%
REFI,CHICAGO ATLANTIC REA,14.25,0,0.00%,10,14.2,14.7,0,0,1.88,299 M,46.65%
MRCC,MONROE CAP CORP,6.38,0,0.00%,N/A,6.36,6.4,0,0,0.33,138 M,71.90%
DMO,WESTERN ASSET MORTGAGE OP CF,11.98,0,0.00%,N/A,11.98,12,0,0,1.51,136 M,N/A
GCV,GABELLI CONVERTBLE & INCM SECURTY CF,3.74,0,0.00%,N/A,3.6,3.85,0,0,0.3,74 M,N/A
FRCIL,FIRST REPUBLIC BANK 5.5% PFD Callable,0.0002,0,0.00%,2,0.006,0.0118,0,0,N/A,0,N/A
CIG,COMPANHIA ENERGETICA ADR,1.95,0,0.00%,"1,405",1.91,1.96,0,0,0.4253,"5,578 M",20.30%
NLY,ANNALY CAP MGMT INC REIT,19.18,0,0.00%,"3,606",19.23,19.25,0,0,0.92,"11,606 M",28.86%
FLNG,FLEX LNG LTD,24.4,0,0.00%,266,24.06,24.64,0,0,1.91,"1,320 M",28.39%
NREF,NEXPOINT REAL ESTATE,13.66,0,0.00%,1,13.58,14.03,0,0,2.55,242 M,33.03%
NHS,NEUBERGER BERMAN HGH YLD STRATGS CF,7.56,0,0.00%,N/A,7.48,7.71,0,0,1.44,230 M,N/A
OCSL,OAKTREE SPECIALTY LE,13.79,0,0.00%,"3,046",13.79,13.86,0,0,0.12,"1,215 M",53.37%
PNNT,PENNANTPARK INVT COR,6.73,0,0.00%,"3,003",6.66,6.8,0,0,0.73,439 M,N/A
SVNLY,SVENSKA HANDELSBANKE ADR,6.51,0,0.00%,N/A,6.41,6.66,0,0,0.6851,"25,780 M",N/A
AOMR,ANGEL OAK MORTGAGE R,9.07,0,0.00%,11,9.13,9.23,0,0,1.53,213 M,N/A
BDN,BRANDYWINE RLTY TR REIT,4.39,0,0.00%,378,4.31,4.45,0,0,-1.2,759 M,41.13%
TRIN,TRINITY CAP INC,14.3,0,0.00%,"3,397",14.35,14.4,0,0,2.23,925 M,31.80%
TWO,TWO HARBORS INVESTME,10.74,0,0.00%,"27,470",10.52,10.65,0,0,-0.33,"1,117 M",41.64%
ABR,ARBOR RLTY TR INC REIT,10.23,0,0.00%,"6,890",10.25,10.3,0,0,1.03,"1,966 M",51.14%
GNL,GLOBAL NET LEASE INC,7.33,0,0.00%,25,7.25,7.48,0,0,-1.48,"1,636 M",24.52%
MFA,MFA FINL INC REIT,9.45,0,0.00%,"6,556",9.43,9.55,0,0,0.99,970 M,29.86%
CION,CION INVT CORP,9.23,0,0.00%,7,9.24,9.28,0,0,-0.29,485 M,31.96%
GECC,GREAT ELM CAP CORP,10.59,0,0.00%,190,9.63,10.66,0,0,0.45,122 M,N/A
IIPR,INNOVATIVE INDL PPTY REIT,57.89,0,0.00%,887,57.9,59,0,0,5.19,"1,622 M",42.50%
KEN,KENON HLDGS LTD,37.02,0,0.00%,17,37.05,39,0,0,11.41,"1,931 M",35.50%
GSBD,GOLDMAN SACHS BDC IN,11.56,0,0.00%,598,11.57,11.64,0,0,0.43,"1,356 M",29.12%
FCO,ABRDN GLOBAL INCOME CF,6.35,0,0.00%,30,6.3,6.42,0,0,0.65,85 M,N/A
HQH,ABRDN HLTHCR INV,15.4,0,0.00%,N/A,15.4,16.48,0,0,0.13,829 M,N/A
IFN,INDIA CF,16.01,0,0.00%,350,15.55,16.1,0,0,3.17,639 M,N/A
