symbol,name,high_52wk,current_price,notes
MSFU,Microsoft ETF,,,
NVDL,Navidia ETF,,,None
AMZU,Amazon ETF,,,
AAPU,Apple ETF,,,
AVL,AVGO ETF,,,
GGLL,Google ETF,,,
FBL,Face book ETF,,,
MUU,MU ETF,,,
NFXL,Netflix ETF,,,
TSLL,Tesla ETF,,,
UGL,Proshares Ultra Gold,,,
SOFI,SOFI Technologies,,,Lending institution
SMCI,Super Micro Computer,,,
NCLH,Norwegian Cruise Lines,,,
MAGS,Magnificent Seven,,,
EQT,EQT Corp.,,,
BITO,BITO Cripto Cover Call,,,High yield Monthly payer
QDTE,None,,,High Yield Weekly payer
QQQI,Nasdaq dividend payer,,,
SMR,Newscale Power Corp,,,Nucular power company
SOXL,Direxion Daily Semiconductor Bull 3X shares,,,ETF includes AMD for AMD exposer
HSAI,Hesai Group Sponsored Ads,,,Sponsored add Company
MARA,Mara Holdings Com,,,Mines Crytpto Currency
