Ticker,bid,ask,bidSize,askSize,prevClose,change,changePercent,marketCap,averageVolume10day,week52High,week52Low,week52HiDate,week52LowDate
MSFU,50.92,50.98,900,300,51.04,-0.16,-0.31,189528000.0,559855,61.16,25.06,2025-07-31 14:22:44,2025-04-07 14:22:44
NVDL,86.05,86.07,500,200,86.37,-0.29,-0.34,4063836800.0,14783265,102.46,23.12,2025-10-10 14:22:44,2025-04-07 14:22:44
AMZU,33.02,33.03,1200,100,33.52,-0.49,-1.46,397185750.0,3720266,50.61,21.28,2025-02-04 14:22:45,2025-04-07 14:22:45
AAPU,30.97,30.98,1700,1700,30.51,0.47,1.54,195948500.0,2083181,43.1,15.89,2024-12-11 14:22:45,2025-04-08 14:22:45
AVL,59.14,59.25,100,900,55.85,3.0,5.37,133883750.0,528012,67.85,10.68,2025-09-11 14:22:46,2025-04-07 14:22:46
GGLL,66.16,66.17,200,100,63.99,2.19,3.42,466564770.0,1331979,70.57,23.6,2025-09-19 14:22:46,2025-04-07 14:22:46
FBL,41.0,41.02,200,100,40.18,0.83,2.07,223094400.0,1555324,51.74,20.15,2025-02-14 14:22:46,2025-04-21 14:22:46
MUU,53.15,53.23,200,700,50.68,2.48,4.89,154164000.0,1465867,59.19,6.77,2025-10-06 14:22:47,2025-04-07 14:22:47
NFXL,56.26,56.39,400,700,57.26,-0.99,-1.73,82998250.0,299525,73.7,22.86,2025-06-30 14:22:47,2024-10-17 14:22:47
TSLL,19.64,19.65,29500,3800,19.3,0.35,1.81,7387379905.0,153511749,41.5,6.29,2024-12-18 14:22:49,2025-04-07 14:22:49
UGL,54.07,54.09,1400,200,52.63,1.46,2.77,987142500.0,3332350,54.38,22.39,2025-10-15 14:22:49,2024-11-14 14:22:49
SOFI,28.02,28.03,1300,900,27.87,0.16,0.57,33267069140.0,84020144,30.3,8.6,2025-09-22 14:22:49,2025-04-07 14:22:49
SMCI,53.95,53.97,200,100,53.11,0.85,1.6,32066198525.1,35586820,66.44,17.25,2025-02-19 14:22:50,2024-11-15 14:22:50
NCLH,23.8,23.81,700,700,23.75,0.06,0.23,10715273235.0,11020045,29.29,14.21,2025-01-31 14:22:50,2025-04-07 14:22:50
MAGS,63.79,63.8,600,1400,63.47,0.32,0.5,3297943000.0,2602248,65.73,39.0,2025-09-23 14:22:51,2025-04-07 14:22:51
EQT,54.87,54.89,100,400,53.29,1.59,2.98,34248577440.0,7657666,61.02,35.45,2025-06-23 14:22:51,2024-11-01 14:22:51
BITO,18.34,18.35,69100,44000,18.58,-0.24,-1.27,2716394328.0,22129006,27.88,16.48,2024-12-17 14:22:52,2025-04-07 14:22:52
QDTE,35.1,35.11,2500,2900,34.81,0.28,0.82,938223000.0,1234561,43.86,29.26,2024-12-16 14:22:52,2025-04-21 14:22:52
QQQI,54.33,54.34,12400,8500,54.07,0.26,0.48,5437929736.0,5276102,55.1,41.17,2025-10-10 14:22:53,2025-04-07 14:22:53
SMR,51.16,51.26,200,200,45.79,5.41,11.81,14585651200.0,21433330,56.16,11.08,2025-10-15 14:22:53,2025-04-04 14:22:53
SOXL,39.71,39.72,1000,500,36.63,3.08,8.42,12907375000.0,93113466,43.37,7.22,2025-10-06 14:22:54,2025-04-07 14:22:54
HSAI,22.96,22.99,200,400,23.65,-0.69,-2.92,3517678640.0,3098867,30.85,4.02,2025-09-22 14:22:54,2024-11-15 14:22:54
MARA,23.15,23.16,4300,200,22.24,0.92,4.14,8579784120.0,60891349,30.28,9.81,2024-11-29 14:22:55,2025-04-04 14:22:55
